epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,643.021,2.60581,2.66807,3.15802,0.00311,0.82353,0.00626,0.00244,2.39412,3.85222,4.4536,0.000826964,0.000826964,0.000826964
60,652.609,2.67763,2.68252,3.18386,0.00311,0.82353,0.00677,0.00261,2.39962,3.85609,4.46346,0.000835381,0.000835381,0.000835381
61,661.921,2.63854,2.64014,3.12163,0.00311,0.82353,0.00601,0.00227,2.40517,3.86319,4.46577,0.0008436,0.0008436,0.0008436
62,671.458,2.61696,2.58116,3.09829,0.00311,0.82353,0.00615,0.00235,2.39643,3.86126,4.42528,0.000851621,0.000851621,0.000851621
63,681.022,2.60073,2.66482,3.07898,0.00311,0.82353,0.00672,0.0021,2.39721,3.86999,4.40058,0.000859444,0.000859444,0.000859444
64,691.035,2.52832,2.62636,3.03877,0.00311,0.82353,0.00749,0.0024,2.39889,3.8752,4.39895,0.000867069,0.000867069,0.000867069
65,700.369,2.4384,2.66825,2.99178,0.00311,0.82353,0.009,0.00259,2.39637,3.88348,4.38155,0.000874496,0.000874496,0.000874496
66,709.668,2.48226,2.5735,2.99149,0.00311,0.82353,0.00805,0.00257,2.39616,3.89277,4.33519,0.000881725,0.000881725,0.000881725
67,719.285,2.47156,2.57311,3.01647,0.00311,0.82353,0.00679,0.00243,2.4003,3.89841,4.29284,0.000888756,0.000888756,0.000888756
68,728.768,2.48175,2.43395,2.92612,0.00311,0.82353,0.00688,0.00234,2.40174,3.90509,4.28085,0.000895589,0.000895589,0.000895589
69,738.024,2.46404,2.48368,2.97834,0.00311,0.82353,0.00855,0.0026,2.39548,3.91894,4.32513,0.000902224,0.000902224,0.000902224
70,747.691,2.42072,2.49634,2.94871,0.00311,0.82353,0.00811,0.00262,2.39646,3.92649,4.31243,0.000908661,0.000908661,0.000908661
71,757.161,2.33928,2.40963,2.83749,0.00311,0.82353,0.0083,0.00247,2.40343,3.928,4.25812,0.0009149,0.0009149,0.0009149
72,767.108,2.3048,2.42024,2.84085,0.00311,0.82353,0.00816,0.00249,2.41267,3.92355,4.20146,0.000920941,0.000920941,0.000920941
73,776.459,2.26176,2.39013,2.81623,0.00311,0.82353,0.00791,0.00238,2.43815,3.93523,4.15417,0.000926784,0.000926784,0.000926784
74,785.986,2.33827,2.44894,2.86897,0.00311,0.82353,0.00778,0.00239,2.45132,3.94619,4.1646,0.000932429,0.000932429,0.000932429
75,795.436,2.2799,2.39713,2.83835,0.00311,0.82353,0.00754,0.00245,2.46726,3.96339,4.20571,0.000937876,0.000937876,0.000937876
76,804.735,2.25279,2.40018,2.76216,0.00311,0.82353,0.00928,0.00232,2.46709,3.97211,4.24625,0.000943125,0.000943125,0.000943125
